,Strain,Treatment,Pre_stress,Post_stress,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18
0,TU,0,0.8459214501510574,1.2666666666666666,1.2371134020618557,0.0,0.0,0.0,0.4123711340206186,1.0309278350515465,5.154639175257732,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1,TU,0,0.8459214501510574,1.0,0.8247422680412372,0.4123711340206186,0.4123711340206186,0.8247422680412372,0.8247422680412372,0.8247422680412372,3.711340206185567,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2,TU,0,1.1782477341389728,1.2333333333333334,0.8247422680412372,1.6494845360824744,0.4123711340206186,0.6185567010309279,1.0309278350515465,0.8247422680412372,3.711340206185567,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
3,TU,0,3.413897280966767,3.4,4.3298969072164954,4.742268041237113,4.948453608247423,5.773195876288661,3.0927835051546393,1.0309278350515465,10.515463917525773,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
4,TU,0,1.2386706948640482,2.033333333333333,0.8247422680412372,0.8247422680412372,1.0309278350515465,1.4432989690721651,4.536082474226805,4.948453608247423,4.742268041237113,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
5,TU,10,5.377643504531722,12.833333333333334,1.8556701030927836,1.2371134020618557,1.4432989690721651,1.8556701030927836,2.4742268041237114,2.680412371134021,1.6494845360824744,1.2371134020618557,1.8556701030927836,1.8556701030927836,14.020618556701033,0,0,0,0,0,0,0
6,TU,10,7.462235649546828,6.5,0.4123711340206186,2.061855670103093,1.2371134020618557,0.6185567010309279,1.0309278350515465,1.6494845360824744,0.6185567010309279,2.680412371134021,2.8865979381443303,2.2680412371134024,4.742268041237113,0,0,0,0,0,0,0
7,TU,10,7.220543806646526,9.366666666666667,1.8556701030927836,2.2680412371134024,1.8556701030927836,1.0309278350515465,0.6185567010309279,1.0309278350515465,2.2680412371134024,1.4432989690721651,0.6185567010309279,0.8247422680412372,10.721649484536083,0,0,0,0,0,0,0
8,TU,10,1.0876132930513596,12.933333333333334,1.4432989690721651,1.4432989690721651,1.0309278350515465,1.4432989690721651,1.6494845360824744,0.6185567010309279,1.4432989690721651,0.8247422680412372,0.8247422680412372,0.8247422680412372,14.226804123711341,0,0,0,0,0,0,0
9,TU,10,3.021148036253776,8.266666666666667,2.4742268041237114,1.6494845360824744,1.4432989690721651,1.0309278350515465,1.2371134020618557,1.4432989690721651,1.6494845360824744,1.0309278350515465,1.8556701030927836,0.4123711340206186,8.8659793814433,0,0,0,0,0,0,0
10,StAR:bPAC+,0,0.6646525679758308,0.8333333333333334,0.2061855670103093,0.6185567010309279,0.4123711340206186,0.4123711340206186,0.6185567010309279,0.4123711340206186,2.4742268041237114,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
11,StAR:bPAC+,0,0.5135951661631419,1.0333333333333334,0.6185567010309279,0.4123711340206186,0.4123711340206186,0.4123711340206186,0.4123711340206186,0.4123711340206186,3.0927835051546393,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
12,StAR:bPAC+,0,0.8459214501510574,1.6333333333333333,1.2371134020618557,0.8247422680412372,0.4123711340206186,1.0309278350515465,1.2371134020618557,0.6185567010309279,4.742268041237113,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
13,StAR:bPAC+,0,1.3595166163141994,2.1,0.8247422680412372,1.0309278350515465,0.6185567010309279,1.4432989690721651,1.6494845360824744,1.2371134020618557,3.2989690721649487,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
14,StAR:bPAC+,0,0.5438066465256798,1.7333333333333334,1.0309278350515465,0.2061855670103093,0.4123711340206186,0.8247422680412372,0.4123711340206186,0.6185567010309279,4.3298969072164954,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
