,Strain,Treatment,Pre_stress,Post_stress,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
18,StAR:bPAC+,10,8.325331919093161,0.14917876270600502,6.244949789447202,7.698724239816679,9.73464698007285,5.528228912566953,8.520088701364383,4.565449757336416,6.993613256589062,9.895450747162728,4.943139884264403,4.932905958543868,0.005235654105777775,0
19,StAR:bPAC+,10,8.045816590776113,8.277317210223575,4.803510093682901,5.652709315619234,5.884601842784438,6.769012419321278,8.880565699285919,5.407877251594508,5.074852214725182,7.674246118984918,5.33244435019743,7.028189145610723,8.536865293020368,0
20,StAR:bPAC-,0,2.811784171679461,5.64662543043365,5.527389479382983,8.449700042945684,2.9522508150817943,9.194265856329498,4.224536811664926,5.098953095624191,9.565795607023636,0.0,0.0,0.0,0.0,0
21,StAR:bPAC-,0,2.2391017219865574,1.6723259163783015,0.0067567051809954174,0.0066094182578806,0.34196132767253146,0.06363849969390727,0.12761076583413586,0.04246639532066104,0.024990752470126394,0.0,0.0,0.0,0.0,0
22,StAR:bPAC-,0,9.641935541063537,8.402433934004002,8.841993460056402,5.4150807785786785,7.98050828077733,9.146799880901497,10.353039142560288,10.58250257484448,10.686417042070222,0.0,0.0,0.0,0.0,0
23,StAR:bPAC-,0,0.002844992793567609,0.002868660021366836,0.0020069408303688106,0.003444554590952457,0.0030610857207551355,0.002048535663214786,0.018887038924747312,0.0021203904722394825,0.007973422442116912,0.0,0.0,0.0,0.0,0
24,StAR:bPAC-,0,0.005830125882657607,0.05619678935523745,0.0028009583218866724,0.003488808269641512,0.00431136930098309,0.0034444246131623887,0.003097548796881837,0.003965324139658784,0.0021680969159055662,0.0,0.0,0.0,0.0,0
25,StAR:bPAC-,10,8.72083308408411,0.0035674542117432773,6.820208704111016,3.9168307992654494,5.257133710903632,13.779154437909144,0.8211216874813415,0.12137004315807501,0.01244510653929346,0.012317993004114068,0.006662645518664738,0.005906171228515567,0.0053438313775459705,0
26,StAR:bPAC-,10,3.5452505819365494,0.11981563093650546,8.342167965156492,3.283725474720962,3.0581016300442574,1.309777175041243,4.911177579256537,1.411229941425563,1.7469231160495906,0.6978218867046244,8.370038591374493,1.909148531674555,1.940290273218393,0
27,StAR:bPAC-,10,6.081018831609707,0.3241419831182943,7.151948567326498,4.213912886493869,4.537065853020292,5.050034024740424,12.56546118145132,6.2789596780418995,5.667630305057241,4.349383324524749,11.129472754837803,8.766626472667541,4.612133926887688,0
28,StAR:bPAC-,10,6.129815761008284,0.34474534270095736,7.50730445801039,5.169379168006199,8.266762164764373,4.144691901598937,7.91185024930447,3.0437017473583268,6.50781926477919,13.306568421049626,8.362208007376632,12.18705416324346,10.610305028498185,0
29,StAR:bPAC-,10,4.604196018870348,0.22266465733885932,4.174266224389314,6.948587876487037,6.685282825293592,3.878793480286109,9.657677988283355,3.5654473610670037,6.434974815335631,6.4949833999313915,3.4310219102060966,9.56714499743849,0.006255062313674985,0
30,TU,0,6.586574580973649,4.52881479086878,4.1010195431230825,4.735756660717738,3.2486201107290333,6.068659036916971,6.887038312480597,10.716549516926829,2.382547750997893,0.0,0.0,0.0,0.0,0
31,TU,0,5.59257988052479,4.620790956979843,12.109943169253368,4.600458388958507,9.858504981650446,0.7516454629019403,2.44693102223717,6.051633958298768,7.266611561110204,0.0,0.0,0.0,0.0,0
32,TU,0,3.3576783757230415,0.6985534325115672,0.8546633698212982,0.004229499400649985,0.0033411706484886726,0.0038649530274920255,0.0037491046911382014,0.003056600325227757,5.454390986721799,0.0,0.0,0.0,0.0,0
33,TU,0,0.2389943614945118,0.03445908169261918,0.27924090273607943,1.5876118184273098,5.549887070431202,1.2285978828326067,0.063663848048684,0.03106726816617798,0.00930450908102619,0.0,0.0,0.0,0.0,0
34,TU,0,7.559491554787577,3.642298403379743,9.647486618093485,4.118083912971225,3.3449609760308543,5.952831643281376,11.02638630161456,11.194228397234987,4.223886082223392,0.0,0.0,0.0,0.0,0
35,TU,10,4.235632702401282,0.06322420176349898,6.256849315461245,8.220940751118933,4.187277958141633,11.177741588859352,2.30535891110726,8.415590117196798,7.117352898592723,4.01180927791195,9.78457463586107,1.0689910905515951,0.0022455778657442305,0
36,TU,10,4.874811297605187,0.12193811687806286,7.305580534038536,9.034214292230514,11.248033366439138,5.737367990209246,8.273269172200258,9.749347615818978,8.86156152065672,4.686250223748797,5.320239549732884,2.669320217005218,0.0027251303193000648,0
37,TU,10,3.046836465042441,0.25383184407077725,4.873655207588722,1.836007672226545,1.4659849629076338,1.3846348084814004,2.8351499863027745,1.9088634882244513,0.3945996575169959,0.5090671421096078,3.4757531731251303,0.18958781684007842,5.98608270712,0
38,TU,10,1.026849111449023,0.04438983964249405,2.988830568826145,2.7165727517679743,4.034865172831115,6.499504014666729,1.2863201755663287,2.7794272424703106,5.789876951974003,4.028530788632358,1.5439633677611129,1.5063003430185362,0.0027480461574706156,0
39,TU,10,6.829445017400884,6.6619844650929485,1.884303120228087,1.794223290808931,4.303940459191736,5.382275381740649,4.962624243919997,5.678891822748692,9.710923896883582,2.5467339698791567,4.993146953573077,2.575711306448482,3.6848851643627,0
40,StAR:bPAC+,0,4.473799407085604,7.002883624355672,6.3526180699335875,5.359870804250721,5.816146137135949,6.177764384555573,10.17109573310634,5.359985046131301,5.688183740478351,0.0,0.0,0.0,0.0,0
41,StAR:bPAC+,0,5.953878669078753,6.740894277517642,5.695017033547097,5.760510992427442,5.3904468701322426,5.1729185697505065,6.529550501835573,6.683685872298513,5.9072127892472475,0.0,0.0,0.0,0.0,0
42,StAR:bPAC+,0,5.170770483570551,8.988316648436532,4.319428083678865,8.274339807592092,7.963653010520431,12.77800012465769,7.815003120451884,9.496221804541863,0.0,0.0,0.0,0.0,0.0,0
43,StAR:bPAC+,0,4.37407659267966,6.707727661742422,3.2334271637557226,2.6788457633132166,0.027754868914473298,0.00500694250765004,0.0064983293973431755,1.770891851772539,2.5909623395721675,0.0,0.0,0.0,0.0,0
44,StAR:bPAC+,0,5.8628570137366465,6.017923269705095,3.08589592673635,5.6816332691622415,7.980958983228644,8.58372558206276,6.694032647453018,3.1703989097649465,9.049144699706387,0.0,0.0,0.0,0.0,0
45,StAR:bPAC+,10,3.0834129538139448,0.36877886262771153,2.880225555966535,5.930742527798551,6.76409957161369,5.361747960821784,8.264988422432825,5.767095496366738,10.277622623991148,9.20458226738087,5.4548588200151835,1.7512403772946472,6.465098618918731,0
46,StAR:bPAC+,10,2.843766299115154,0.0057090426007639665,3.509476925284157,3.3881762043883135,4.28675218599673,4.6162530237205335,6.581416887515867,6.955917005897199,7.356009430454587,1.4884465369997022,5.499506010953264,3.0349753959592296,0.0030807314298981737,0
47,StAR:bPAC+,10,7.329009741775469,3.6238491213924124,4.505071131554516,2.393199151277263,4.81125583185129,12.662559643610388,6.861343889748362,5.175912772906678,1.962427237837714,5.3323533104425875,11.591127876841982,4.673425332377524,9.263919108600053,0
48,StAR:bPAC+,10,5.462346736114644,0.2524794510720517,6.305790352852534,3.6628314003648987,3.25381179501191,3.1749262871368766,1.30298284923589,4.459811263239573,6.161286509790555,8.265954680513081,5.023269700865756,2.186605360650789,0.006802842250545044,0
49,StAR:bPAC+,10,4.177600572074211,0.01577202731554012,1.6968870963207348,6.128132650158487,2.367008592017629,9.731151998363147,3.3052289193467024,3.943253465577906,2.040484656384712,2.7201343417344384,3.3362777497505376,3.869603342011975,0.0036771440974850095,0
50,StAR:bPAC-,0,4.1886373317073735,0.004233217180972707,0.010878048388682024,0.005000086439270836,0.004427271758558215,0.0038100465723328206,0.04501702028228094,0.002806543923457569,0.0,0.0,0.0,0.0,0.0,0
51,StAR:bPAC-,0,7.138461611989194,5.609966244003208,5.341297961693959,5.082348017430797,11.47324028434482,8.166729009755429,9.064731932236633,7.55370979503923,7.889993884604737,0.0,0.0,0.0,0.0,0
52,StAR:bPAC-,0,7.788771548655426,7.489776680545534,5.098732919170714,4.463154920397893,6.27529630674323,10.467400655702857,6.988151562319573,6.2914065614227574,3.9175025416025275,0.0,0.0,0.0,0.0,0
53,StAR:bPAC-,0,4.788674438269973,5.063109568582916,4.018588679066204,3.3700406458275265,6.2655771575727215,4.236588958797163,4.199901367183539,6.038017260533838,5.552046372946664,0.0,0.0,0.0,0.0,0
54,StAR:bPAC-,0,5.155410534091213,6.928940363545331,1.832076864599109,3.4511830801401118,19.728436120741154,2.792315366528446,6.394903820415523,4.676547468278997,0.06268105953929361,0.0,0.0,0.0,0.0,0
55,StAR:bPAC-,10,4.820111312533108,8.638976894052641,3.642422046960643,6.184261111201024,1.5434612658308577,1.9713848753341898,4.860300990275642,2.779912775010333,3.2374408053675254,4.372749788202395,1.5286079820402432,1.2991646071411698,6.837388264731182,0
56,StAR:bPAC-,10,4.795642132098038,0.04175886314113146,1.3926658297517815,3.0675406100967755,3.300062387026231,3.1378253960583686,1.6081077283177159,2.671017945349352,5.500847969651848,2.214812426499663,3.127064680910274,2.186659447777893,0.002506692991031753,0
57,StAR:bPAC-,10,3.739846737417018,0.07194234636530436,3.0816387648888233,9.075283856936684,5.858399289578021,4.499037560725536,3.807397203467962,1.544314758394569,2.439292709674193,7.4540231207706915,7.484787885920926,4.450492817604905,0.002679436271719335,0
58,StAR:bPAC-,10,5.882406992470062,0.22775107825628532,12.784702290855707,8.789689969238692,2.4665792388662338,1.5762190007281818,4.878467817789793,2.704867828964512,7.497942882735121,10.184892349546478,3.0744399177982293,2.60929009795264,0.0031199326647037198,0
59,TU,10,0.17388290976805687,0.011883206434625692,2.6760497392222455,15.33656262183443,6.548905497597289,3.0723046722279577,3.1080707942082935,7.728945180162688,0.8783687815409562,2.333693941129993,7.832439342336453,4.993005127494996,0.005312990656480563,0
60,TU,10,0.03805375835397536,0.02715374257161919,4.4426023813859565,2.8578053356859323,1.9931550315459634,4.970304566038995,1.510929940554337,6.5822416795919345,1.9012752534064454,3.7145436384583217,5.204966826518489,3.341392662084523,0.005611230460823402,0
61,TU,10,8.606162484795576,0.22640862875873516,6.255946886398025,3.5061560763281703,9.48017137763697,10.098361496003978,3.5391565990361458,7.636607626549316,11.593679918295589,8.821210032829596,2.555281170663077,7.811723883938107,1.7096703403275935,0
