,Strain,Treatment,Pre_stress,Post_stress,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,total
10,StAR:bPAC+,0,3.206936331193506,3.636327574143463,4.21380304186297,3.648007675779017,3.4650693347021315,4.381889881696082,6.261736920905726,3.04546288946366,4.12412063050909,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3.7279368058338576
11,StAR:bPAC+,0,4.63858017220592,4.133343825553662,3.9462389301227816,3.8988282091944533,3.5206548900113517,3.9158908153316228,3.7472517311331393,4.386940044760491,3.494152426384159,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,4.076481100866258
12,StAR:bPAC+,0,3.685185105745228,3.898423865069526,2.82387555289616,3.2464886790883436,3.1349814689664695,3.2711254333326525,3.064585675637372,3.7005750055990108,3.713170468911618,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3.678931733423401
13,StAR:bPAC+,0,4.31909735474243,3.6527448339672555,3.218364771656104,2.1303687637091877,2.858964637601355,3.109492119781423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3.200587102699957
14,StAR:bPAC+,0,3.4249602305828435,3.146039977123607,3.1633194948067844,3.024518191676424,2.936046091914525,3.309481745754605,3.204423199412266,2.422736255296493,4.540009163498992,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3.4282727603136722
15,StAR:bPAC+,10,3.9030456536090923,3.883571169124823,6.365849254212408,7.006546953588768,7.589883800578189,6.41519053231262,6.873337391365941,7.531878181864879,10.999520718691,10.361518023138133,7.163502227279654,6.125285265973706,2.779597880617969,0,0,0,0,0,0,0,3.9697287812888953
16,StAR:bPAC+,10,4.622519407626502,0.5143878715316863,6.941657313714788,6.828310998809885,8.033563384191245,8.109075317522931,7.507518011435862,10.299277853460868,8.51384361397217,6.085262986644304,8.535729122680772,6.600901043389511,0.04367584938228863,0,0,0,0,0,0,0,3.251417617812446
17,StAR:bPAC+,10,3.0965166453369153,1.9450622177087769,6.104043413599585,4.029969411404799,6.551975891449427,5.503362651979635,5.001944444611327,6.3411766210715665,4.720088121227382,6.161554074470755,6.816414671306165,6.05865697802174,2.3303376055520792,0,0,0,0,0,0,0,3.4124949406312646
18,StAR:bPAC+,10,4.791265805819094,3.4985609365037518,8.118607416008883,6.3982784337695335,6.26666252149031,5.896502261852839,5.142576842916625,6.683919339499256,5.226205026519622,6.536416378757876,5.559189466105148,5.015768991702241,0.018871027937572796,0,0,0,0,0,0,0,3.211582226736036
19,StAR:bPAC+,10,2.570667134000495,2.0558835396087933,4.421098578967826,7.024380759532358,5.687245786933696,6.722148274550085,6.902611893092085,9.623233234892965,5.658333952773003,4.806947015236048,3.682442725219053,6.112034557378141,0.024338116906223624,0,0,0,0,0,0,0,2.2966772042177808
20,StAR:bPAC-,0,7.485051946474516,0.22588264499430147,0.36043159362234845,0.37896730872499285,0.039156549061030235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.136236905239095
21,StAR:bPAC-,0,4.199887284430061,3.2435468646485512,3.1856135430860126,3.375323473133891,3.7716938300599585,2.8488101540842097,3.525995737444162,3.6929952532230796,3.847781768646599,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3.589760356179463
22,StAR:bPAC-,0,4.655057977440973,3.623646466310793,4.041016660112378,4.058345445428616,3.790481098854441,3.7011873851640575,2.852196970471252,2.9168322740750305,3.81984604123559,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3.8502345825350504
23,StAR:bPAC-,0,4.176298191059695,3.919805716449512,5.255441326414026,4.961082540624293,3.0038417276891067,4.3374379680609785,4.677464255019957,6.983060640866557,5.041233536292606,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,4.366059733798736
24,StAR:bPAC-,0,3.837883030034291,7.036940757445761,3.4198795890403964,3.319077410532765,2.757635747676268,3.224483307578476,6.876950855935719,4.049297812393178,0.4423849594511703,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,4.275402321395497
25,StAR:bPAC-,10,4.367328118600543,4.346714222911757,5.032247311058457,7.8585912863627065,4.8120365597337065,4.738014306565535,7.46093751164321,6.013588139563095,5.151615948854133,6.76800774604085,2.927230860169639,5.17150187099246,3.0240409571211258,0,0,0,0,0,0,0,4.668465735321658
26,StAR:bPAC-,10,4.543881938967957,0.6932157217595064,5.240970670451984,3.818247769407181,4.836594442890633,5.503571378983054,3.967913876321065,4.465295259780292,4.732012377422817,3.0099868057112094,3.6744945801866735,3.793371185228628,0.02794651469157549,0,0,0,0,0,0,0,2.3297065748160577
27,StAR:bPAC-,10,5.70867528224744,3.565320893494945,7.867331362511552,9.043649349249453,6.88733197714401,7.865407034044577,5.910987132690227,3.984018025708185,5.626008546159173,7.558595636044086,4.978352731578692,4.427723927600313,0.02356701907319053,0,0,0,0,0,0,0,3.0509894662395727
28,StAR:bPAC-,10,3.910124377094566,4.685854225074661,9.630038570103267,10.374260164484337,5.746463500980166,3.9995765752816084,8.248490477977498,6.458399054515281,10.008221610068587,10.194375602767892,4.210202875280845,5.059290591437196,0.018773226194489637,0,0,0,0,0,0,0,3.6089321012434
