,Strain,Treatment,bin0,bin1,bin2,bin3,bin4,bin5
39,TU,10,8.82876322145401,8.82876322145401,6.104239909855369,6.093533811210452,5.866917160341136,4.98958688757791
40,StAR:bPAC+,0,3.444569533130358,3.444569533130358,3.1318039935748345,2.6537673937667723,3.370734433577828,3.2767853720276285
41,StAR:bPAC+,0,6.316756920235565,6.316756920235565,4.917324765305345,6.106057772365045,3.7523870743507373,3.767796302509879
42,StAR:bPAC+,0,4.358707395928788,4.358707395928788,3.1946048610595428,3.603297310001861,3.1175246880157688,3.7834337231888253
43,StAR:bPAC+,0,0.8368935913358283,0.8368935913358283,4.248019733858477,4.41702534737492,5.818051848668469,5.246397014088889
44,StAR:bPAC+,0,3.8479653621545373,3.8479653621545373,2.90812082097121,4.20840569682721,3.3606099949999875,3.1711925409838395
45,StAR:bPAC+,10,4.534323166026417,4.534323166026417,3.9032266380770286,4.388538421372721,3.169310114950307,3.916379009527385
46,StAR:bPAC+,10,4.110881206273609,4.110881206273609,8.627074848553582,3.3380948090561566,0.23184177999130048,0.15056362839771054
47,StAR:bPAC+,10,3.289379797675879,3.289379797675879,2.4166863702984913,3.6881544117896317,3.112042976420086,3.477612044461262
48,StAR:bPAC+,10,4.01617816964484,4.01617816964484,5.9030955948119805,6.337232434638397,2.133215294430321,3.7918552824274334
49,StAR:bPAC+,10,3.0369477365604345,3.0369477365604345,2.711975825976802,2.4539548955792743,2.2713762256151115,2.036002613375198
50,StAR:bPAC-,0,9.544647782837158,9.544647782837158,8.4493831815224,6.967483010013183,7.676647565750901,0.4940100298118453
51,StAR:bPAC-,0,4.009043725957906,4.009043725957906,4.375493478564604,4.080145704064186,4.486954538348684,4.34533880770653
52,StAR:bPAC-,0,5.78197407428844,5.78197407428844,4.860145809380609,4.695367323212307,4.926478149446906,3.7840367659823846
53,StAR:bPAC-,0,3.563527468543232,3.563527468543232,4.44535513903949,3.7345703411415037,3.5519525345925786,4.776116934720721
54,StAR:bPAC-,0,3.8627824516662077,3.8627824516662077,3.1131994579862807,3.145190582362254,3.824268657709863,3.0920086751445464
55,StAR:bPAC-,10,4.5113677613541885,4.5113677613541885,5.181088819099712,3.2633314553801585,4.553087644065929,3.7285905874749137
56,StAR:bPAC-,10,4.688108714623362,4.688108714623362,1.159533439240341,5.70974419718348,3.2580406506452997,5.711805812281653
57,StAR:bPAC-,10,8.992023616133778,8.992023616133778,6.970030548070896,5.394570031355388,2.662176720119554,0.23585817679405688
58,StAR:bPAC-,10,5.842871583814345,5.842871583814345,4.529626841070719,2.501158270374857,2.1264903999869347,3.515531774889514
