,Strain,Treatment,max0,max1,max2,max3,max4,max5,max6,max7,max8,max9
0,TU,0,9.152939714452401,1.2467258640133985,0.5141355852301965,1.2750118940621689,4.437492072105599,1.0495097712742065,17.09671308673103,0.0,0.0,0.0
1,TU,0,15.95686753752127,12.309203483572762,9.668003149047896,21.30282540063642,31.07250498212849,28.822951760907504,23.69404251626345,0.0,0.0,0.0
2,TU,0,13.911522793713138,20.604074748699585,12.389471211476298,15.761358581353333,16.404462798884943,10.411872510264425,35.22654031108363,0.0,0.0,0.0
3,TU,0,0.24296510862467569,0.14407944186801735,0.1525828492360804,0.12535823078282504,2.0916340016599455,13.73309968215479,9.099218360386793,0.0,0.0,0.0
4,TU,0,17.64105981510181,56.636659417377366,15.225630681518581,0.6336216615615362,0.0768058591514965,0.0835843286746948,40.132796957133465,0.0,0.0,0.0
5,TU,10,52.19647401972827,49.57492717350561,36.29391803553316,28.784459756431065,44.53493251772254,35.23655492272763,52.79288118433841,35.632552103098085,40.287828379032796,61.856414406081605
6,TU,10,0.05609037350561267,46.546338316241375,48.597109270511126,37.33377789552646,15.210375220223858,19.084135054280043,31.795111612479047,0.11085314609877904,0.043512412022325704,0.0480337381430962
7,TU,10,37.03204107863892,43.071025639053445,25.145108217901953,54.479472792052604,34.676012742240125,29.52863809232657,36.270038866294314,44.38308868435588,22.980174598553415,44.29760648764671
8,TU,10,69.1827860639921,69.02769989975039,18.40026381115228,26.922659772949626,36.01137116037099,15.628019874571436,57.814743361187716,33.156749243706024,23.392169305132867,30.392316329296133
9,TU,10,43.82726921472522,26.65622113241109,28.64613722489648,56.34090172441333,63.13757758815266,42.081677519362266,37.81211444907703,38.65350852303061,25.801379309060206,21.871899407230273
10,StAR:bPAC+,0,5.16089741042195,8.344939689081038,17.96641556126597,4.338667936129698,5.7282734440667245,5.060100513665715,12.852603386010944,0.0,0.0,0.0
11,StAR:bPAC+,0,16.570941611088372,4.903761695433416,5.981199172987299,20.834721406421636,23.45248531467957,5.3358679478131785,24.790967093076457,0.0,0.0,0.0
12,StAR:bPAC+,0,8.359002125349651,7.410505884406003,8.046065859685713,35.055263726299366,5.33952386360432,12.194790182696874,14.195105313100026,0.0,0.0,0.0
13,StAR:bPAC+,0,10.212473943878624,8.616926646409372,9.700723779698082,10.057205005882302,8.228965435126096,12.036822015150015,54.60469589589891,0.0,0.0,0.0
14,StAR:bPAC+,0,6.298773007943689,5.222064058818122,6.9241243166482835,9.879744983237169,6.255373761782742,8.562141183103675,12.396586066820978,0.0,0.0,0.0
15,StAR:bPAC+,10,23.115069899310264,18.31175933246176,6.596238080148403,27.116814245961862,41.45630539073641,70.1500827821322,63.263150112301545,28.623327227979626,57.298356632389556,52.20045630588491
16,StAR:bPAC+,10,58.35691535232907,54.13126346829622,47.69334378464147,33.34163163149038,35.46137025905795,34.56575781463499,33.25263769688052,22.571029741905896,30.083956372241005,24.63503955020166
17,StAR:bPAC+,10,51.25766060258701,40.24252082482035,43.64534143388044,47.12573491936228,36.031782778423896,51.73167875335191,51.56840918038485,28.39928678417823,29.318004899719906,71.23291187906051
18,StAR:bPAC+,10,46.6767055208551,27.077411590105882,34.286002915447874,68.40637072858712,52.003289707959816,30.189824410923627,57.04366849642474,56.03712735330032,19.18485634660838,30.463071578552274
19,StAR:bPAC+,10,14.556679726503578,16.772610137018027,25.553611331864616,21.11068069392601,34.26667759091914,21.668873104986332,32.05990781802094,33.03829985050834,19.53964449651017,30.380690024851724
20,StAR:bPAC-,0,12.020288106285141,7.615520569206019,6.1699079879687,9.749399363037703,14.490913095453994,9.8287784398673,10.185759687426367,0.0,0.0,0.0
21,StAR:bPAC-,0,0.11310039787728042,0.9819949083371152,0.9819564603382415,0.7195529862351947,0.6065315985173538,0.5666876123580085,1.3767101982625076,0.0,0.0,0.0
22,StAR:bPAC-,0,24.67041307517976,22.365107784468652,6.075065920012721,6.71622633999182,7.395086978117905,12.331983584971235,11.937472816722975,0.0,0.0,0.0
23,StAR:bPAC-,0,0.08505304227361439,0.08662938300600516,0.19836557160959822,0.3205888488391337,0.4043613853967657,0.05902075905985538,0.16101925350713822,0.0,0.0,0.0
24,StAR:bPAC-,0,0.05570718086565392,0.03864763899645971,0.05632415112541299,0.046855736041590185,0.04564832965181219,0.038806829295877344,0.3152737382022248,0.0,0.0,0.0
25,StAR:bPAC-,10,73.03589765868563,69.97331349736771,47.998155339554444,37.5763826823445,36.63325179178065,0.74936829396498,0.08813466968223294,0.09755583016917703,0.19980360357111004,0.17233818497362385
26,StAR:bPAC-,10,56.9019841858788,32.83935414483665,19.74519132573801,20.066407826514443,17.6624288046718,29.79297092436402,41.124885490714725,12.302165959293513,48.3851144544735,27.99500149044469
27,StAR:bPAC-,10,19.244448130652227,22.567455060772808,60.31140021432515,59.73439981258706,27.57194998353218,25.44994227891293,23.07120890200598,18.533514715239505,26.358768533002447,13.733797298635224
