,Strain,Treatment,Pre_stress,Post_stress,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,total
11,StAR:bPAC+,0,2.7773174164640664,3.278262706884069,3.276199774103149,2.920805741981225,2.231944419743428,4.178660731407078,2.9662908237948886,2.6194319342729475,3.8788449893426002,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3.20949988292715
12,StAR:bPAC+,0,4.807929276026216,3.769232722145828,3.8696319555685577,3.910566097785632,5.0959190175865645,9.51497048297237,1.999479909725371,5.773664367989569,4.356011379615009,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,4.350102525580925
13,StAR:bPAC+,0,5.109143510542894,5.097614241829108,6.177461126334852,3.9581762891970222,5.229051586232097,4.544890702026918,3.9635330004080984,4.835335799251477,6.1464969740038695,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,5.2344372004303805
14,StAR:bPAC+,0,3.2127890899663325,4.198221735414968,3.621219030498905,3.02774301959356,3.2699862579761527,3.4899595495991504,3.7274567412620274,4.178299101147823,6.45065622271629,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,4.273217475083324
15,StAR:bPAC+,10,6.59130244460478,5.940390745375159,8.472448254912566,8.466598779219954,2.2551828778914436,9.828719481534785,10.561816250389702,13.34549497988456,13.755910039849047,8.367485347388962,4.458670263197598,2.4843161449801974,0.006832706180285524,0,0,0,0,0,0,0,3.5671111489548837
16,StAR:bPAC+,10,3.296681166507211,0.7911646169571364,11.90780378686203,9.68292469971863,4.025406836381563,6.650486464812391,9.386508995874593,10.910852105573145,6.55367608387045,5.490063787717493,4.2338166474005865,3.301109583049451,0.021768772363554366,0,0,0,0,0,0,0,2.720845003717722
17,StAR:bPAC+,10,5.683453751287764,3.2588965527599574,11.245050662332293,8.90634891766938,8.978351926873133,9.71625177460356,9.662786582149906,7.963839375404945,7.676037883632568,6.770205166043975,6.343188046242686,7.215768608411576,3.4616431215170014,0,0,0,0,0,0,0,4.470670389839152
18,StAR:bPAC+,10,7.784752323927644,4.709807726947921,8.192610207491587,9.078659526365094,10.129556688371139,8.46893695268856,9.239872731312573,7.521180487933828,8.159249533226413,9.358346090087156,8.152207456751656,6.50048849465317,0.046525704095827576,0,0,0,0,0,0,0,4.637069510077999
19,StAR:bPAC+,10,4.047385318675123,5.309875745437612,5.328549572572463,6.7747834870295724,6.319870656858542,6.366779419104603,9.173340372889772,5.803666593005044,6.724590543328003,7.965150563840251,5.5550541741078145,5.672657025503987,5.178531749929112,0,0,0,0,0,0,0,5.358063948374514
20,StAR:bPAC-,0,3.2728813784331585,4.4954598216445865,3.246182828417214,3.014073123328798,2.7351934959241015,3.736342082226518,4.241031608358564,3.9457521360272185,3.7608298305741443,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3.8180616021076235
21,StAR:bPAC-,0,6.138550400733777,6.480924664679539,0.5212458821289698,0.49609395172012105,0.38475808021839913,0.3552822576129384,0.4077087011888451,0.5924234151743368,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2.3106692848146517
22,StAR:bPAC-,0,4.822919980732498,4.440767761221062,5.229127211409932,4.82294128620959,2.5303351300716517,2.745680607539324,4.321765460722792,4.288213722606707,3.7640303865159597,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,4.312287185020615
23,StAR:bPAC-,0,0.2928843628464843,0.05761153446623693,0.3410311275944795,0.014090580392352163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.02865440750413714
24,StAR:bPAC-,0,0.0680775720199381,3.8802946512814303,0.03752112996149833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.19237544793138106
25,StAR:bPAC-,10,16.683230590681017,3.5631590582345396,16.596051618097054,10.680979290977332,10.623332559064824,2.657690511726041,0.48763398306431593,0.04138319651430866,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2.449306542132332
26,StAR:bPAC-,10,2.7672544270158297,2.0803735806469112,12.282504051674438,6.1422590370341625,6.804978067825902,3.242933715375362,3.8822821466934436,5.099360007108078,4.1997967694991605,3.397188184356547,4.6121696337199705,5.960120271165529,1.9245897194185564,0,0,0,0,0,0,0,2.511898132350461
27,StAR:bPAC-,10,4.1410300671296545,3.5832448094353846,6.537816726199675,7.308726548729911,9.61596162319738,7.818861948608656,7.888591598494429,7.533115383404999,4.9138022878460905,5.350576285899975,6.690305474464885,4.043711722413348,4.220937930519821,0,0,0,0,0,0,0,3.8620174561927705
28,StAR:bPAC-,10,4.832433581329519,3.504080053426017,6.333457821608547,6.570914527853602,10.27619563747967,8.81507371907165,10.414402714842309,7.047121796855774,7.87804227713361,5.786851525221749,8.268175232139894,6.474027608224543,4.684276293097747,0,0,0,0,0,0,0,4.3629515154162375
29,StAR:bPAC-,10,4.916887717800384,5.654362257849622,7.668164885542286,9.698017205754057,11.367484205883716,8.756162719397926,11.927068026900304,8.88111668558115,9.556390239538507,6.660445816405813,8.125265016477558,7.971319284472006,0.05996315901344737,0,0,0,0,0,0,0,4.119100414457198
30,TU,0,4.088782820049683,3.3811264153369964,2.9562276199240305,3.909181927994625,3.565527775239345,4.310697223641265,4.124972235393047,5.8113853903878345,2.628711931605398,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3.53807164646279
31,TU,0,4.267697223299024,2.6225882395895614,5.805928991396213,3.3036431633479864,3.253873902913244,1.5440619156781334,1.4622331744148327,3.353334545421553,3.2013817746768662,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3.1767326219730743
32,TU,0,6.007343057268193,4.973933781211521,1.4237345757668693,5.280867587060513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3.219623304288346
33,TU,0,2.232598081770386,0.7643049193905288,0.44924404058860845,5.7098567840921355,6.980747174387404,0.6610116257644526,0.35495896898935614,0.42831381111364736,0.057088234232876935,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.6086013041744596
34,TU,0,3.8958928675364497,3.156849317787753,4.854093102240059,3.788853427229415,5.147010554914692,2.7672078129067463,5.056791377538327,5.225672960882675,3.358443797710667,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3.609069990448367
35,TU,10,4.329118585819032,3.7080380391890473,5.7089575297855815,10.637075146264149,9.528543551328378,9.439202855211688,6.920798421669884,11.40086487316942,7.314173886367004,8.401655328802383,9.250931288562407,4.998200142866978,0.02447902737713698,0,0,0,0,0,0,0,3.7461301355904664
36,TU,10,3.0244343557469455,4.343333956693395,4.522080779634282,10.236798570096633,9.778977021901222,8.447460675999244,10.075219569096529,9.099643094761186,8.622441434875478,5.648841449988035,6.976589291322625,4.355316198853311,0.03773458094291025,0,0,0,0,0,0,0,3.5164352383470217
37,TU,10,3.2688399308596723,1.5194081972526403,7.039963788221022,3.664928418691941,4.765671148616862,4.406702601821531,5.756759242326242,5.8896439003463135,1.401807523833377,3.9763619560824592,7.285450865780559,3.1931913366029723,2.9016038663329486,0,0,0,0,0,0,0,2.54774477195047
38,TU,10,5.524288483509944,2.621573956252772,6.757170741264127,5.209391135581157,7.892977096129222,6.604182732579701,5.493620707934781,5.821567584108497,5.80167174230812,4.870695277123539,4.359351050201041,5.096960779858503,0.04753446597747309,0,0,0,0,0,0,0,2.22568303325967
39,TU,10,5.721358186609344,4.910203454766145,4.555335401455761,4.850718680049801,7.772894221034127,8.071334169171442,8.057745675913559,8.893988733010362,8.61235771393618,6.0637772050264624,5.956762620969776,4.817787669229807,3.9698748547743032,0,0,0,0,0,0,0,5.624424084065933
40,StAR:bPAC+,0,3.206936331193506,3.636327574143463,4.213803041862971,3.6480076757790174,3.4650693347021315,4.381889881696082,6.261736920905726,3.04546288946366,4.124120630509089,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3.736239560412544
41,StAR:bPAC+,0,4.638580172205921,4.133343825553661,3.946238930122782,3.898828209194454,3.5206548900113517,3.9158908153316228,3.7472517311331397,4.386940044760492,3.494152426384159,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,4.080107863411528
42,StAR:bPAC+,0,3.685185105745228,3.898423865069526,2.82387555289616,3.246488679088344,3.1349814689664695,3.2711254333326525,3.064585675637372,3.700575005599011,3.7131704689116183,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3.6830239822926214
43,StAR:bPAC+,0,4.319097354742429,3.6527448339672555,3.218364771656104,2.1303687637091873,2.8589646376013556,3.109492119781423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3.2034346001222795
