,Strain,Treatment,Pre_stress,Post_stress,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,total
10,StAR:bPAC+,0,3.658880350661638,3.8461677002300045,3.5635651590378035,3.9269821931271482,3.2958869360824745,3.881976402061855,2.434026107216495,23.71667552536083,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3.6656779759113336
11,StAR:bPAC+,0,2.879638061434043,2.7525324829389435,3.940296618694157,3.39801410034364,3.0272114991065284,4.0010314976769745,3.3214894109965627,16.284352064536105,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2.8348939032524667
12,StAR:bPAC+,0,2.7295501562134956,2.5688263773888913,2.3613859725085913,2.589336316151202,3.090111224673541,2.726989408934707,2.4172360343642616,15.406925425017176,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2.5543254470999996
13,StAR:bPAC+,0,2.481548367030213,2.2634638928222235,2.1909602199312705,1.717545635738833,1.4949356701030925,1.4478487285223358,1.4459397938144338,14.65421163986256,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2.195077178031333
14,StAR:bPAC+,0,3.0327466617119865,3.0636743614800017,2.95696997120275,3.3470603395189022,2.8837959155257717,3.3104343905841915,2.5677506762886604,16.11300512835738,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2.902817372237555
15,StAR:bPAC+,10,3.015379764715006,1.609920021111114,1.955968619243987,1.5330764948453612,1.560795463917526,1.5604379587628865,1.561553436426117,1.5023253608247418,1.5610386941580754,1.2323489553264602,1.3842994295532651,1.5875542542955317,3.324499408934706,0,0,0,0,0,0,0,1.9160611809915555
16,StAR:bPAC+,10,1.7249310060422962,1.5421451777777755,2.25931690515464,1.8196103780068735,1.898303271477664,2.090051356701031,2.397123906529209,2.128126218570447,2.094398510151202,2.115508417938145,2.0896903099656354,2.0773040625429555,2.650529553264604,0,0,0,0,0,0,0,1.7612049798975558
17,StAR:bPAC+,10,2.1225213824068483,1.756187159722225,2.3769223050859107,2.2215147725085904,1.7702106254295529,1.7252695807560137,1.5466079037800688,1.7931289759450166,2.120100666666667,2.2525150927835043,2.203344901030927,1.6687763470790382,3.050779312714777,0,0,0,0,0,0,0,1.9057544279155554
18,StAR:bPAC+,10,2.2282710234239693,1.436843977777778,1.717476494845361,2.014225081099656,2.0849363092783504,1.727187972508591,1.5129420893470795,1.613700845360825,1.521547422680413,1.4347106529209621,1.4638195876288667,1.7041833285223364,2.471111202749139,0,0,0,0,0,0,0,1.6893715888577778
19,StAR:bPAC+,10,2.6740662924311214,1.3509201833333302,2.2036239140893468,2.432015193580757,3.3347890830927827,3.5927324515463925,2.5527679518900332,1.5782855525773203,1.7261286687285224,1.8972026529209625,1.764135610309279,1.6143417113402065,2.33264556701031,0,0,0,0,0,0,0,1.939705645408911
20,StAR:bPAC-,0,1.6558257391742197,1.5031232499999987,1.5107615807560144,1.5261464604810997,1.533696907216494,1.5770821993127153,1.6132708591065295,10.132628522336764,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.5451941442222221
21,StAR:bPAC-,0,3.42436892572699,2.4337983589611127,3.342519202405497,3.4539200668041237,3.184814844054983,3.117092626804121,2.4335897457044675,16.79554375738829,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2.7744186143904224
22,StAR:bPAC-,0,4.104411439081577,2.7764710068499965,4.761090206185568,4.872569470790381,4.7125610833677,3.5416770563573863,2.9770661443298976,21.334906628591078,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3.3807576760284443
23,StAR:bPAC-,0,1.9816520154078558,1.741137325,2.6645507756701035,3.1833617061168376,1.8710836426116837,2.74725294570447,2.0493113083161507,11.340376563573887,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.9050814358577781
24,StAR:bPAC-,0,2.3617223591842915,1.892043025000002,1.5847598625429553,1.77583058419244,1.707654982817869,1.6955784192439864,1.7726457044673545,9.087816563573876,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.8478225283711112
25,StAR:bPAC-,10,3.131125410574015,2.24730472446389,2.085468962199312,2.707533337828179,2.347334054295533,3.0254666136082475,2.4311043601374553,1.9377005498281787,2.591367144536081,2.582347896219933,1.991406808316151,2.2903937725085908,4.0399702199312735,0,0,0,0,0,0,0,2.496163260646444
26,StAR:bPAC-,10,1.8166434038267862,1.5004170166666724,1.99587760137457,1.7003411202749144,1.4667098969072172,1.7514443092783505,1.4271366323024057,1.4529108591065283,1.4572162886597928,1.5309646735395186,1.515505498281787,1.4236021305841926,2.614719725085909,0,0,0,0,0,0,0,1.5939173135555555
27,StAR:bPAC-,10,1.5383370795568998,1.4474197888888944,1.419058969072165,1.5504167216494844,1.440340962199313,1.748987157388317,1.4301843298969068,1.45135138831615,1.3996583505154627,1.6625071408934713,1.530787697594502,1.9669991718213053,2.513861512027491,0,0,0,0,0,0,0,1.504118591088889
28,StAR:bPAC-,10,1.5190113494461241,1.4159567348333382,1.8020893546391754,1.8611850103092786,1.7859448659793815,1.8380946048109974,1.8547987766323024,2.2553193525773185,2.3747695656357397,2.1983610446735398,1.6958422130584194,1.659958302405498,2.2879714089347076,0,0,0,0,0,0,0,1.6004413471999999
