,Strain,Treatment,Pre_stress,Post_stress,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
0,TU,0,5.8755858612485845,4.3910852507747595,5.612737392925394,6.550053914481169,4.215220553511845,14.638326329380531,3.821172612114019,6.7109313117811835,5.7659114928562145,0.0,0.0,0.0,0.0,0.0
1,TU,12,6.339466148852542,0.3491503785837722,4.217789141110681,3.9690144630902098,7.523297078217232,5.375802040062047,9.376809022868015,9.541634726518032,5.310848217162885,4.549868374610411,4.31682452131448,7.421196348779293,5.437423515493132,11.348503524277566
