,Strain,Treatment,Pre_stress,Post_stress,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,s12,s13,s14,s15,s16,s17,s18
0,TU,0,2.2798707407076946,2.94701287581111,2.517732501718211,2.828258274914088,2.667332542955326,2.5173653470790387,3.0606054123711366,2.7199362739518893,35.81285458669414,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
1,TU,12,2.267202016174358,1.1253894800000002,1.6678870790378004,1.6504694158075606,1.2704326460481097,1.5977754364261174,1.547428859106529,1.465012233676976,1.3600747079037798,1.3717224054982815,1.3890499656357391,1.5845527972508593,1.6138280206185567,1.7668860068728518,6.986911202749142,0,0,0,0,0
