,Strain,Treatment,Pre_stress,Post_stress,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18
0,TU,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
1,TU,12,0.0,55.888888888888886,0.0,0.0,0.0,0.0,0.0,0.0,0.3556666666666667,0.010777777777777777,0.016166666666666666,0.13472222222222222,0.10238888888888888,0.0,4.65061111111111,0,0,0,0,0
